S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
2,PREETAM LODHI,Bharatiya Janata Party,120753,475,121228,52.48,26
3,SANTSINGH ADIWASI,Bahujan Samaj Party,2200,8,2208,0.96,26
4,D.S. CHAUHAN (ADVOCATE),Jan Adhikar Party,240,0,240,0.1,26
5,CHANDRAPAL SiNGH YADAV,Janata Dal (United),131,1,132,0.06,26
6,RAJEEV YADAV,Samajwadi Party,369,3,372,0.16,26
7,RAM SINGH PAL,Rashtriya Samaj Paksha,105,0,105,0.05,26
8,DAU AMAR SINGH,Independent,106,0,106,0.05,26
9,ARVIND LODHI (MUHARI),Independent,319,2,321,0.14,26
10,KRiSHNAPAL SiNGH CHOOHAN,Independent,137,1,138,0.06,26
11,JASRATH JATAV,Independent,598,4,602,0.26,26
12,DUAARIKA PARiSAD YADAV,Independent,209,0,209,0.09,26
13,MAHESH DONGAR,Independent,396,3,399,0.17,26
14,RAKESH LODHI,Independent,435,0,435,0.19,26
15,SANTOSH KUMAR SHARMA,Independent,1050,1,1051,0.46,26
16,SHOBREN SiNGH BUNDELA,Independent,1921,0,1921,0.83,26
17,NOTA,None of the Above,2173,3,2176,0.94,26
1,NAVAL DHAKAD,Bahujan Samaj Party,24867,19,24886,12.44,27
2,BAIJNATH SINGH YADAV DADA JI,Indian National Congress,57579,133,57712,28.85,27
3,MAHENDRA RAMSINGH YADAV KHATORA,Bharatiya Janata Party,108559,126,108685,54.32,27
4,THAKURLAL JATAV,Aazad Samaj Party (Kanshi Ram),1682,1,1683,0.84,27
5,SURESH LODHI,Pichhara Samaj Party United,274,0,274,0.14,27
6,ANiL KUMAR LODHi,Independent,277,0,277,0.14,27
7,ENDRAPAL SINGH KUSHWAH,Independent,856,1,857,0.43,27
8,NAVAL SINGH DHAKAD,Independent,199,0,199,0.1,27
9,PRAHLAD - ADIWASI,Independent,534,0,534,0.27,27
10,MAHENDRA SiNGH Yadav,Independent,1417,0,1417,0.71,27
11,VIRSINGH JATAV,Independent,977,0,977,0.49,27
12,HARVEER SINGH YADAV,Independent,763,0,763,0.38,27
13,NOTA,None of the Above,1804,1,1805,0.9,27
1,RISHI AGRAWAL,Indian National Congress,92965,743,93708,51.19,28
2,Manisha Rajesh Singh Dhakad,Bahujan Samaj Party,3483,13,3496,1.91,28
3,MAHENDRA SINGH SISODIA (SANJU BHAIYA),Bharatiya Janata Party,78543,369,78912,43.11,28
4,URmila Bai,Lok Samaj Party,1296,1,1297,0.71,28
5,D?. PHooL SiNGH KUSHWAH,Pichhara Samaj Party United,306,0,306,0.17,28
6,RANJANA KUSHWAH,Aazad Samaj Party (Kanshi Ram),819,3,822,0.45,28
7,SHRiRAM SEN,Socialist Unity Centre Of India (COMMUNIST),245,0,245,0.13,28
8,AMIT SHRIVASTAVA GUNA WALE,Independent,196,1,197,0.11,28
9,ASHISH (LAL MAHARAJ),Independent,262,2,264,0.14,28
10,KRiSHN RAO. KAPSE (KAPSE BABU),Independent,361,1,362,0.2,28
11,SANTOSH,Independent,702,0,702,0.38,28
12,SURAJ LAL LODHA HARIPUR,Independent,669,0,669,0.37,28
13,NOTA,None of the Above,2058,6,2064,1.13,28
1,Ad. JAGVEER SINGH JARSONIYA,Bahujan Samaj Party,3424,44,3468,2.01,29
2,PANNA LAL SHAKYA,Bharatiya Janata Party,113433,1368,114801,66.59,29
3,PANKAJ KANERIYA,Indian National Congress,47083,1264,48347,28.05,29
4,KAMAL SiNGH AHiRWAR,Lok Samaj Party,640,4,644,0.37,29
5,ADV. DINESH KUMAR JATAV,Aazad Samaj Party (Kanshi Ram),652,6,658,0.38,29
6,SEEMA RAI,Socialist Unity Centre Of India (COMMUNIST),609,13,622,0.36,29
7,GoUTEM SHAKYA,Independent,297,1,298,0.17,29
8,HARIOM KHATEEK,Independent,1814,14,1828,1.06,29
9,NOTA,None of the Above,1687,35,1722,1,29
1,PRIYANKA PENCHI,Bharatiya Janata Party,109801,453,110254,56.47,30
2,MAMTA MEENA,Aam Aadmi Party,27259,146,27405,14.04,30
3,RAJENDRA ViNOD SHARMA,Bahujan Samaj Party,759,4,763,0.39,30
4,LAKSHMAN SINGH,Indian National Congress,48122,562,48684,24.93,30
5,PRABHuLAL BHEEL,Bahujan Mukti Party,966,1,967,0.5,30
6,LAXMINARAYAN (GOLU),Aazad Samaj Party (Kanshi Ram),992,1,993,0.51,30
7,KAPIL AHIRWAR,Independent,389,1,390,0.2,30
8,PRIYANKA,Independent,573,3,576,0.3,30
9,Bad?ilal,Independent,477,1,478,0.24,30
10,MAMTA MEENA,Independent,960,4,964,0.49,30
11,LAKSHMAN SINGH,Independent,594,3,597,0.31,30
12,HAR BAI,Independent,926,1,927,0.47,30
13,NOTA,None of the Above,2248,1,2249,1.15,30
1,JAIVARDHAN SINGH,Indian National Congress,94803,935,95738,48.58,31
2,DHARMENDRA GAJRAMSINGH YADAV,Bahujan Samaj Party,2305,6,2311,1.17,31
3,HEERENDRA SINGH BUNTY PEELAGHATA,Bharatiya Janata Party,90834,399,91233,46.3,31
4,SANJEEV AHIRWAR,Aazad Samaj Party (Kanshi Ram),2445,6,2451,1.24,31
5,KETAN CHAUHAN,Independent,554,0,554,0.28,31
6,JAI SINGH RAGHOGARH,Independent,456,2,458,0.23,31
7,LAL SINGH LODHA,Independent,364,0,364,0.18,31
8,SAGAR SINGH KUSHWAH,Independent,690,0,690,0.35,31
9,HEERENDRA SINGH BANTI BANA,Independent,1153,3,1156,0.59,31
10,NOTA,None of the Above,2110,3,2113,1.07,31
1,JAJPAL SINGH ''JAJJI'',Bharatiya Janata Party,77484,323,77807,45.03,32
2,DHANPAL BERKHEDI,Bahujan Samaj Party,3037,18,3055,1.77,32
3,HARIBABOO RAI,Indian National Congress,85316,864,86180,49.87,32
4,GANESHRAM AHIRWAR,Aazad Samaj Party (Kanshi Ram),2357,3,2360,1.37,32
5,DEVENDRA BIJAURE,Socialist Unity Centre Of India (COMMUNIST),334,2,336,0.19,32
6,TULSIRAM AHIRWAR,Independent,112,0,112,0.06,32
7,NARENDRA SINGH,Independent,187,0,187,0.11,32
8,BUNDEL SINGH,Independent,192,0,192,0.11,32
9,SURENDRA SINGH,Independent,327,1,328,0.19,32
10,HANMANT SINGH PARIHAR,Independent,492,0,492,0.28,32
11,HARIOM JATAV,Independent,356,0,356,0.21,32
12,NOTA,None of the Above,1384,10,1394,0.81,32
1,GOPAL SINGH CHAUHAN (DAGGI RAJA),Indian National Congress,62647,649,63296,39.8,33
2,JAGANNATH SINGH RAGHUWANSHI,Bharatiya Janata Party,84730,334,85064,53.49,33
3,Adv. VIRENDRA SINGH YADAV,Bahujan Samaj Party,5576,22,5598,3.52,33
4,RANVEER SINGH ADIWASI,Aazad Samaj Party (Kanshi Ram),1521,4,1525,0.96,33
5,GAMBHIR AHIRBAR,Independent,131,0,131,0.08,33
6,GOLU YADAV,Independent,80,0,80,0.05,33
7,BHANU,Independent,149,0,149,0.09,33
8,MOHAMMAD JAVED ANSARI (JAPANI),Independent,248,1,249,0.16,33
9,RAMESH CHAND,Independent,296,0,296,0.19,33
10,RAJPAL YADAV,Independent,198,0,198,0.12,33
11,RAMBEER SINGH YADAV,Independent,391,2,393,0.25,33
12,SOHAN LAL AHIRBAR,Independent,587,1,588,0.37,33
13,NOTA,None of the Above,1440,12,1452,0.91,33
1,BRAJENDRA SINGH YADAV,Bharatiya Janata Party,76839,223,77062,44.99,34
2,MOHAN SINGH YADAV,Bahujan Samaj Party,15270,70,15340,8.96,34
3,RAO YADVENDRA SINGH,Indian National Congress,71020,620,71640,41.83,34
4,MUKESH LODHI,Aazad Samaj Party (Kanshi Ram),3290,10,3300,1.93,34
5,OMKAR SINGH,Independent,169,0,169,0.1,34
6,GENDRAJ SINGH YADAV,Independent,71,0,71,0.04,34
7,DAULAT SINGH LODHI,Independent,98,0,98,0.06,34
8,BANTI RAI BABA,Independent,139,0,139,0.08,34
9,BHUPENDRA SINGH YADAV,Independent,211,2,213,0.12,34
10,RAJPAL SINGH,Independent,136,0,136,0.08,34
11,RANI BAI JATAV,Independent,205,0,205,0.12,34
12,RAM DAYAL SINGH,Independent,491,1,492,0.29,34
13,SALMAN KHAN,Independent,514,1,515,0.3,34
14,SHREYANSH,Independent,625,3,628,0.37,34
15,NOTA,None of the Above,1259,9,1268,0.74,34
1,ADV. NIRMLA SAPRE,Indian National Congress,72056,402,72458,50.43,35
2,MAHESH RAI,Bharatiya Janata Party,66016,287,66303,46.15,35
3,RAMENDRA AHIRWAR,Bahujan Samaj Party,2065,7,2072,1.44,35
4,AHIRWAR DEEPAK KUMAR,Samajwadi Party,401,1,402,0.28,35
5,JEEVAN,Independent,131,2,133,0.09,35
6,DASHRATH,Independent,130,0,130,0.09,35
7,NEELESH SINGH PAWAR,Independent,335,2,337,0.23,35
8,RAMSINGH CHADAR,Independent,603,2,605,0.42,35
9,NOTA,None of the Above,1233,6,1239,0.86,35
1,BHOOPENDRA SINGH,Bharatiya Janata Party,105879,557,106436,62.21,36
2,MANOJ KUMAR RAJAK,Bahujan Samaj Party,1947,5,1952,1.14,36
3,BAHEN RAKSHA SINGH RAJPUT,Indian National Congress,58831,280,59111,34.55,36
4,CHALI RAJA LODHI,Bhartiya Shakti Chetna Party,1334,4,1338,0.78,36
5,AZIZ KHAN,Independent,163,1,164,0.1,36
6,"BHUPENDRA LODHI ""BHUPENDRA BHAIYA""",Independent,148,1,149,0.09,36
7,MANOJ KUMAR JAIN PUJARI,Independent,288,0,288,0.17,36
8,LAKKHU AHIRWAR,Independent,335,0,335,0.2,36
9,NOTA,None of the Above,1324,1,1325,0.77,36
1,ANITA SATNAM DANGI,Bahujan Samaj Party,1202,5,1207,0.7,37
2,GOVIND SINGH RAJPUT,Bharatiya Janata Party,83172,379,83551,48.73,37
3,NEERAJ SHARMA,Indian National Congress,80917,456,81373,47.46,37
4,TULSIRAM PAL (HINNOD),Bhartiya Shakti Chetna Party,1454,0,1454,0.85,37
5,Raghunath Patel,Jan Adhikar Party,223,0,223,0.13,37
6,ASHISH SEN,Independent,118,0,118,0.07,37
7,JAKIR ALI,Independent,106,0,106,0.06,37
8,NEERAJ SHARMA,Independent,141,2,143,0.08,37
9,Er. YOGESH SINGH KUSHWAHA,Independent,521,3,524,0.31,37
10,VINOD KURMI,Independent,349,0,349,0.2,37
11,SHISHUPAL SINGH,Independent,573,1,574,0.33,37
12,SAIFUDDIN,Independent,753,2,755,0.44,37
13,NOTA,None of the Above,1077,2,1079,0.63,37
1,"BRIJBIHARI PATERIYA""GUDDA BHAIYA""",Bharatiya Janata Party,94529,403,94932,55.17,38
2,HARSH YADAV,Indian National Congress,67111,598,67709,39.35,38
3,ARVINDRA DIXIT,Bhartiya Shakti Chetna Party,1709,0,1709,0.99,38
4,KAMTA PRASAD,Aazad Samaj Party (Kanshi Ram),509,0,509,0.3,38
5,RAJAT DIWAN,Gondvana Gantantra Party,3135,8,3143,1.83,38
6,ADVOCATE DEVENDRA SINGH LODHI RASHTRIY KRANTI SENA,Independent,257,0,257,0.15,38
7,PRAHLAD SINGH (GARHA WALE),Independent,454,3,457,0.27,38
8,BALCHAND,Independent,415,1,416,0.24,38
9,MUKESH RAJAK,Independent,486,1,487,0.28,38
10,RANU LODHI,Independent,806,0,806,0.47,38
11,NOTA,None of the Above,1633,9,1642,0.95,38
1,GOPAL BHARGAVA,Bharatiya Janata Party,129870,1046,130916,67.04,39
2,ER. JYOTI PATEL,Indian National Congress,57829,287,58116,29.76,39
3,ASHOK LODHI,Bhartiya Shakti Chetna Party,1687,1,1688,0.86,39
4,RAJNI KUSHWAHA,Gondvana Gantantra Party,247,1,248,0.13,39
5,RAJESH SINGH SOYAM,Gana Suraksha Party,146,0,146,0.07,39
6,KAMLESH SAHU,Independent,78,0,78,0.04,39
7,JYOTEE PATEL,Independent,126,0,126,0.06,39
8,DINESH KURMI,Independent,87,0,87,0.04,39
9,NANDKISHOR KURMI,Independent,115,4,119,0.06,39
10,RAJNI GUPTA,Independent,125,1,126,0.06,39
11,RAJKUMARI KURMI,Independent,146,0,146,0.07,39
12,SHYAMRANI KURMI,Independent,153,0,153,0.08,39
13,SAVETRI,Independent,229,0,229,0.12,39
14,SURYA PATEL,Independent,398,0,398,0.2,39
15,SOHAN KURMI,Independent,908,1,909,0.47,39
16,NOTA,None of the Above,1798,3,1801,0.92,39
1,ARVIND TOMAR,Aam Aadmi Party,2091,33,2124,1.25,40
2,Er. PRADEEP LARIYA,Bharatiya Janata Party,87647,555,88202,52.02,40
3,LATORI PRASAD SURYAVANSHI,Bahujan Samaj Party,1291,10,1301,0.77,40
4,ADVOCATE SURENDRA CHOUDHARY,Indian National Congress,72943,847,73790,43.52,40
5,DHARMENDRA AHIRWAR,Aazad Samaj Party (Kanshi Ram),1410,12,1422,0.84,40
6,SURESH DHANAK,Bhartiya Shakti Chetna Party,426,3,429,0.25,40
7,HARAVIND DHANUK,Akhil Bhartiya Aarakshit Samaj Party,342,2,344,0.2,40
8,AKASH AHIRWAR,Independent,263,0,263,0.16,40
9,KOMAL Chadar,Independent,450,2,452,0.27,40
10,NOTA,None of the Above,1206,15,1221,0.72,40
1,SMT. NIDHI SUNIL JAIN,Indian National Congress,58869,879,59748,42.27,41
2,EN. MUKESH JAIN 'DHANA',Aam Aadmi Party,1618,30,1648,1.17,41
3,SHALENDRA KUMAR JAIN,Bharatiya Janata Party,74213,556,74769,52.9,41
4,ADVOCATE SMOHI JATAV,Bahujan Samaj Party,1227,13,1240,0.88,41
5,NARENDRA SINGH SURYAWANSHI,Aazad Samaj Party (Kanshi Ram),591,1,592,0.42,41
6,RAMLAL RAJAK,Bhartiya Shakti Chetna Party,110,3,113,0.08,41
7,SMT. SONA PATEL,Socialist Unity Centre Of India (COMMUNIST),90,0,90,0.06,41
8,ASLAM SIR,Independent,51,0,51,0.04,41
9,ASLAM KHAN,Independent,77,0,77,0.05,41
10,UMESH TRAHIMAM,Independent,208,6,214,0.15,41
11,GOVARDHAN PATEL,Independent,117,2,119,0.08,41
12,JAHID KHAN MANSURI,Independent,80,0,80,0.06,41
13,DEEPAK KOSHTI,Independent,250,1,251,0.18,41
14,PEER MUHMMD (JHAGDU MISTRI),Independent,130,0,130,0.09,41
15,MOHD. FAROOK,Independent,104,0,104,0.07,41
16,MAHENDRA KUMAR KORI,Independent,453,2,455,0.32,41
17,MIRZA RIZBAN BAIG (RANA),Independent,295,0,295,0.21,41
18,LAXMIKANT RAAZ,Independent,77,0,77,0.05,41
19,SHAILBALA SUNARYA,Independent,519,4,523,0.37,41
20,SITADEVI DUBEY,Independent,76,1,77,0.05,41
21,SHRI SUBODH SHUKLA (ADIPURUSH),Independent,58,1,59,0.04,41
22,NOTA,None of the Above,629,10,639,0.45,41
1,"TARVAR SINGH LODHI ""BANTU BHAIYA""",Indian National Congress,55600,560,56160,28.93,42
2,KUNWAR RANJOR SINGH BUNDELA,Bahujan Samaj Party,13698,67,13765,7.09,42
3,VEERENDRA SINGH LODHI,Bharatiya Janata Party,90634,277,90911,46.83,42
4,SUDHIR YADAV,Aam Aadmi Party,24422,70,24492,12.62,42
5,BHANUPRATAP SINGH LODHI,Bhartiya Shakti Chetna Party,1501,1,1502,0.77,42
6,RAM BHAJAN BANSHAL,Bharatiya Sampuran Krantikari Party,246,1,247,0.13,42
7,SUNEEL JAIN (MAGARDHA),Samajwadi Party,382,2,384,0.2,42
8,CHAND KHAN,Independent,569,0,569,0.29,42
9,Ad. PUSHPENDRA AHIRWAR,Independent,336,4,340,0.18,42
10,BHAGWANDAS YADAV,Independent,295,0,295,0.15,42
11,ROVA,Independent,438,2,440,0.23,42
12,LAXMAN SINGH,Independent,681,0,681,0.35,42
13,"VEERENDRA SINGH LODHI ""LAMBARDAR""",Independent,2250,0,2250,1.16,42
14,VIRENDRA BHAIYA,Independent,684,1,685,0.35,42
15,NOTA,None of the Above,1407,2,1409,0.73,42
1,YADVENDRA SINGH (JAGGU BHAIYA),Indian National Congress,82364,1033,83397,46.87,43
2,RAKESH GIRI,Bharatiya Janata Party,73986,293,74279,41.75,43
3,SEETARAM LODHI,Bahujan Samaj Party,1881,13,1894,1.06,43
4,ABHISHEK JAIN,Indian Peoples Adhikar Party,218,1,219,0.12,43
5,ANAND KUSHAWAHA,Jan Adhikar Party,1034,0,1034,0.58,43
6,KAVITA SINGH PARIHAR,Aam Bhartiya Party,123,1,124,0.07,43
7,RAKESH YADAV,Aazad Samaj Party (Kanshi Ram),320,0,320,0.18,43
8,RAMBAGAS LODHI,Bharatiya Sabhyata Party,106,0,106,0.06,43
9,SANJAY YADAV (SHEELU),Samajwadi Party,1272,8,1280,0.72,43
10,K.K. SHRIVASTAVA,Independent,8535,137,8672,4.87,43
11,GHANSHYAM AHIRWAR,Independent,224,0,224,0.13,43
12,GHANSHYAM LODHI,Independent,243,0,243,0.14,43
13,DEEPCHAND PRAJAPATI,Independent,407,0,407,0.23,43
14,BABULAL YADAV,Independent,553,0,553,0.31,43
15,MEENA DEVI KUMHAR,Independent,602,0,602,0.34,43
16,RAJU RAIKWAR,Independent,1191,0,1191,0.67,43
17,RAMCHARAN AHIRWAR,Independent,849,0,849,0.48,43
18,VIJAY KUMAR,Independent,574,0,574,0.32,43
19,SUKA AHIRWAR,Independent,105,0,105,0.06,43
20,SURENDRA JAIN,Independent,99,0,99,0.06,43
21,SANJAY KUMAR AHIRWAR,Independent,1054,1,1055,0.59,43
22,HARIRAM CHADHAAR,Independent,229,0,229,0.13,43
23,NOTA,None of the Above,456,10,466,0.26,43
1,ANITAPRABHUDAYAL KHATIK,Aam Aadmi Party,1147,7,1154,0.69,44
2,AHIRWAR KIRAN,Indian National Congress,64147,580,64727,38.95,44
3,AHIRWAR DHARMENDRA,Bahujan Samaj Party,1876,2,1878,1.13,44
4,KHATIK HARISHANKAR,Bharatiya Janata Party,75678,265,75943,45.7,44
5,AHIRWAR SAVITHRI,Bharastachar Apraadh Mukt Nyay Dal,1160,1,1161,0.7,44
6,PREM NARAYAN AHIRWAR,Aazad Samaj Party (Kanshi Ram),306,3,309,0.19,44
7,ADVOCATE MUKESH AHIRWAR,Jan Adhikar Party,258,1,259,0.16,44
8,R. R. BANSAL,Samajwadi Party,15034,26,15060,9.06,44
9,RAJESH BANSKAR,Akhil Bhartiya Aarakshit Samaj Party,263,0,263,0.16,44
10,AMIT KUMAR SUTRAKAR,Independent,172,2,174,0.1,44
11,AHIRWAR DAMODAR,Independent,330,0,330,0.2,44
12,AHIRWAR MAHENDRA,Independent,264,0,264,0.16,44
13,KASHI RAM BANSHKAR,Independent,465,0,465,0.28,44
14,KOMAL CHANDRA AHIRWAR,Independent,963,0,963,0.58,44
15,KHATIK PRAMOD,Independent,826,0,826,0.5,44
16,RAMESH KUMAR PRAJAPATI,Independent,979,1,980,0.59,44
17,Rajendra Ahirwar,Independent,336,0,336,0.2,44
18,NOTA,None of the Above,1076,1,1077,0.65,44
1,ASHISH KUMAR RAIKWAR,Bahujan Samaj Party,1608,6,1614,0.91,45
2,UMA KUSHWAHA,Aam Aadmi Party,588,2,590,0.33,45
3,NITENDRA BRAJENDRA SINGH RATHORE,Indian National Congress,85431,308,85739,48.35,45
4,DR. SHISHUPAL YADAV,Bharatiya Janata Party,83769,139,83908,47.32,45
5,AHIRWAR GOVINDDAS FOUJI,Aazad Samaj Party (Kanshi Ram),1450,1,1451,0.82,45
6,MINEE YADAV,Samajwadi Party,326,3,329,0.19,45
7,PYARE LAL KEWAT,Jan Adhikar Party,177,0,177,0.1,45
8,RAJPAL SINGH CHOHAN,Sainik Samaj Party,171,0,171,0.1,45
9,AHIRWAR GYANCHANDRA,Independent,265,0,265,0.15,45
10,GOVIND YADAV,Independent,298,0,298,0.17,45
11,DILEEP JAIN YOGI,Independent,1034,0,1034,0.58,45
12,DHARMENDRA KUMAR PAL,Independent,576,0,576,0.32,45
13,RAMESH KUSHWAHA,Independent,360,0,360,0.2,45
14,NOTA,None of the Above,821,2,823,0.46,45
1,ANIL JAIN,Bharatiya Janata Party,53932,254,54186,33.43,46
2,AMIT RAI JIJOURA,Indian National Congress,36634,395,37029,22.84,46
3,AWADHESH PRATAP SINGH RATHORE,Bahujan Samaj Party,13213,112,13325,8.22,46
4,MEERA DEEPAK YADAV,Samajwadi Party,32552,118,32670,20.15,46
5,ANIL,Independent,351,0,351,0.22,46
6,ANITA KUSHWAHA,Independent,256,0,256,0.16,46
7,ABHISHEK RESTRI LEKHAK,Independent,215,1,216,0.13,46
8,AVDHESH YADAV`,Independent,135,0,135,0.08,46
9,DEEPAK YADAV,Independent,861,1,862,0.53,46
10,DEVENDRA YADAV,Independent,410,1,411,0.25,46
11,NANDRAM KUSHWAHA,Independent,18799,28,18827,11.61,46
12,MAITHALI SHARAN,Independent,274,0,274,0.17,46
13,RAJNEESH PATERIYA,Independent,1372,25,1397,0.86,46
14,RAMESH PRASAD PATEL,Independent,437,0,437,0.27,46
15,DOCTOR RAMADHAR VASHISTH,Independent,564,0,564,0.35,46
16,NOTA,None of the Above,1165,1,1166,0.72,46
1,CHANDA-SURENDRA SINGH GOUR,Indian National Congress,83137,602,83739,44.32,47
2,PYARE LAL SONI,Aam Aadmi Party,12152,22,12174,6.44,47
3,RAHUL SINGH LODHI,Bharatiya Janata Party,75440,182,75622,40.03,47
4,SHIKHA HRADESH KUSHWAHA,Bahujan Samaj Party,8533,26,8559,4.53,47
5,AHIRWAR RADHELAL,Aazad Samaj Party (Kanshi Ram),543,6,549,0.29,47
6,LAKHAN LAL LODHI,Bharatiya Sabhyata Party,319,0,319,0.17,47
7,SHOBHARAM RAIKWAR,Loktanter Suraksha Party,882,0,882,0.47,47
8,AJAY SINGH YADAV,Independent,1450,8,1458,0.77,47
9,CHANDRABHAN,Independent,295,3,298,0.16,47
10,PRASHANT SHUKLA,Independent,419,0,419,0.22,47
11,VALVANT BALMEEK,Independent,371,1,372,0.2,47
12,MOHAN LAL,Independent,532,0,532,0.28,47
13,MANJU SINGH LODHI,Independent,1015,1,1016,0.54,47
14,SUNIL SINGH,Independent,757,0,757,0.4,47
15,NOTA,None of the Above,2236,0,2236,1.18,47
1,KAMAKHYA PRATAP SINGH (TEEKA RAJA),Bharatiya Janata Party,76631,338,76969,44.84,48
2,Er. K. R. PATEL RAMJI BHAIYA,Aam Aadmi Party,6457,12,6469,3.77,48
3,DIXIT NEERAJ VINOD,Indian National Congress,49604,748,50352,29.33,48
4,Er. MAHESH CHAND KUSHWAHA,Bahujan Samaj Party,19732,80,19812,11.54,48
5,AJAY DAULAT TIWARI,Samajwadi Party,11764,64,11828,6.89,48
6,GIRJA PRASAD KUSHWAHA,Jan Adhikar Party,291,1,292,0.17,48
7,PARASRAM PAL (GADARIYA),Aazad Samaj Party (Kanshi Ram),1421,1,1422,0.83,48
8,RAKESH PRAJAPATI,Bhagidari Party(P),235,4,239,0.14,48
9,NIRPAT KUSHWAHA,Independent,237,0,237,0.14,48
10,PUROSHTTAM NAYAK PUJARI,Independent,249,0,249,0.15,48
11,AGRAWAL PUSHPENDAR,Independent,389,0,389,0.23,48
12,RAMPAL AHIRWAR,Independent,1034,1,1035,0.6,48
13,SACHIN CHAURASIA (SEA WORLD),Independent,681,0,681,0.4,48
14,NOTA,None of the Above,1675,4,1679,0.98,48
1,AHIRWAR DILEEP,Bharatiya Janata Party,69536,132,69668,43.14,49
2,D. D. AHIRWAR (DEENDAYAL),Bahujan Samaj Party,7080,44,7124,4.41,49
3,ANURAGI HARPRASAD (GOPI MASTER),Indian National Congress,53403,774,54177,33.55,49
4,AHIRWAR PUSHPENDRA KUMAR,Samajwadi Party,24916,61,24977,15.47,49
5,YOGESH PRAJAPATI,Jan Adhikar Party,591,0,591,0.37,49
6,Raja Bhaiya Prajapati,Rashtravadi Bharat Party,690,8,698,0.43,49
7,Anuragi Laklhan Lal,Lok Janshakti Party(Ram Vilas),648,1,649,0.4,49
8,PREMCHAND VERMA,Independent,781,2,783,0.48,49
9,AAHIRWAR RAMDEEN,Independent,692,0,692,0.43,49
10,NOTA,None of the Above,2133,2,2135,1.32,49
1,ARVIND PATERIYA,Bharatiya Janata Party,69447,251,69698,38.14,50
2,Dr. GHASIRAM PATEL,Bahujan Samaj Party,32058,137,32195,17.62,50
3,RAJU PAL,Aam Aadmi Party,1728,1,1729,0.95,50
4,VIKRAM SINGH (NAATI RAJA),Indian National Congress,63371,460,63831,34.93,50
5,BRAJGOPAL PATEL,Samajwadi Party,6349,4,6353,3.48,50
6,AAPKE IMRAN,Malwa Congress,511,0,511,0.28,50
7,RAJKUMAR CHAURASIYA,Rashtriya Gondvana Party,248,0,248,0.14,50
8,RAMKUNWAR/RANI RAIKWAR,Janata Dal (United),470,2,472,0.26,50
9,AHIRWAR HARIMOHAN ADVOCATE,Jan Adhikar Party,288,3,291,0.16,50
10,AJAY SINGH YADAV NAAND,Independent,399,1,400,0.22,50
11,UMAKANT NAMDEV,Independent,295,0,295,0.16,50
12,DASHRATH KUSHWAHA,Independent,483,0,483,0.26,50
13,NEERAJ BHAIYA JI,Independent,977,0,977,0.53,50
14,AHIRWAR POONAM,Independent,752,0,752,0.41,50
15,PRAMOD KUMAR (BINCHI BABA),Independent,736,0,736,0.4,50
16,BHOORA PATEL,Independent,1443,0,1443,0.79,50
17,VIPIN,Independent,954,0,954,0.52,50
18,VIPIN SHARMA,Independent,399,0,399,0.22,50
19,BEERENDRA PATEL,Independent,233,0,233,0.13,50
20,NOTA,None of the Above,762,0,762,0.42,50
1,ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress,69961,759,70720,41.31,51
2,DEELMANI SINGH URF BABBU RAJA,Bahujan Samaj Party,14128,56,14184,8.29,51
3,BHAGEERATH PATEL URF BHAGGU BHAIYA,Aam Aadmi Party,2311,10,2321,1.36,51
4,LALITA YADAV,Bharatiya Janata Party,77371,316,77687,45.38,51
5,AHIRWAR PREM CHANDRA,Jan Adhikar Party,1461,3,1464,0.86,51
6,BENI PRASAD CHANSAURIYA,Samajwadi Party,882,12,894,0.52,51
7,AD. RAJA PRAJAPATI,Sapaks Party,138,0,138,0.08,51
8,RAMCHARAN (CHARAN) AHIRWAR,Aazad Samaj Party (Kanshi Ram),404,1,405,0.24,51
9,DWIVEDI JAWAHARLAL,Independent,204,0,204,0.12,51
10,AHIRWAR DEEPAK,Independent,364,0,364,0.21,51
11,AGRAWAL MANOJ KUMAR,Independent,258,1,259,0.15,51
12,NAWAB KHAN,Independent,345,1,346,0.2,51
13,LALTA YADAV,Independent,424,0,424,0.25,51
14,HARISHCHANDRA 'RAJ',Independent,437,0,437,0.26,51
15,NOTA,None of the Above,1344,6,1350,0.79,51
1,AMIT BHATNAGAR,Aam Aadmi Party,4179,6,4185,2.49,52
2,Advocate- CHARAN SINGH YADAV,Indian National Congress,55506,255,55761,33.24,52
3,MAHENDRA KUMAR GUPTA,Bahujan Samaj Party,10418,25,10443,6.23,52
4,BABLU RAJESH SHUKLA,Bharatiya Janata Party,87950,273,88223,52.59,52
5,CHETRAM AHIRWAR,Aazad Samaj Party (Kanshi Ram),1880,5,1885,1.12,52
6,PARAM LAL PATEL,Bhartiya Shakti Chetna Party,456,1,457,0.27,52
7,RISHI RAJ YADAV,Samajwadi Aam Janata Dal,626,1,627,0.37,52
8,LEELADHAR RAJPOOT,Bharatiya Sabhyata Party,345,0,345,0.21,52
9,CHARAN SINGH YADAV,Independent,294,0,294,0.18,52
10,JAGDISH SHIMAL KUSHWAHA,Independent,961,2,963,0.57,52
11,JAGDISH PRASAD MISHRA,Independent,480,0,480,0.29,52
12,BHAGIRATH TIWARI JASGUWAN,Independent,839,2,841,0.5,52
13,Mohammad. FAREED,Independent,988,0,988,0.59,52
