S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% ofVotes,constituency_number
4,PUSHPENDRA SURYWANSHI HATPIPLIYA,Peoples Party of India (Democratic),362,3,365,0.2,223
5,KISHOR MALVIYA,Independent,195,0,195,0.1,223
6,NAGULAL,Independent,348,2,350,0.19,223
7,PRAHALAD VERMA,Independent,467,0,467,0.25,223
8,PREMCHANDRA GUDDU,Independent,37763,115,37878,20.38,223
9,LAXMAN CHANDRAVANSHI,Independent,974,1,975,0.52,223
10,NOTA,None of the Above,1895,4,1899,1.02,223
1,YASHPALSINGH SISODIYA,Bharatiya Janata Party,102659,608,103267,48.47,224
2,VIPIN JAIN,Indian National Congress,104137,1179,105316,49.43,224
3,SUNITA DR. KAILASH GARG,Bahujan Samaj Party,1031,8,1039,0.49,224
4,ASLAM KHAN,Independent,243,0,243,0.11,224
5,ISMILEMEV,Independent,119,0,119,0.06,224
6,MURLIDHAR,Independent,123,1,124,0.06,224
7,YASHPAL,Independent,276,3,279,0.13,224
8,RAKESH SURYAWANSHI,Independent,265,0,265,0.12,224
9,VIPIN JAIN,Independent,860,4,864,0.41,224
10,NOTA,None of the Above,1509,21,1530,0.72,224
1,JAGDISH DEVDA,Bharatiya Janata Party,114969,529,115498,54.2,225
2,NARENDRA MALVIYA,Bahujan Samaj Party,1206,3,1209,0.57,225
3,PARSHURAM SISODIYA,Indian National Congress,35715,448,36163,16.97,225
4,BASANTILAL MALVIYA,Independent,1195,6,1201,0.56,225
5,SHYAMLAL JOKCHAND,Independent,56034,440,56474,26.5,225
6,LALCHAND MEGHWAL,Independent,819,0,819,0.38,225
7,NOTA,None of the Above,1720,10,1730,0.81,225
1,Dung Hardeepsingh,Bharatiya Janata Party,123504,791,124295,53.06,226
2,Balwant Singh Gurjar,Bahujan Samaj Party,1688,10,1698,0.72,226
3,RAKESH PATIDAR,Indian National Congress,100352,1274,101626,43.38,226
4,PRINCE SURYAWANSHI,Aazad Samaj Party (Kanshi Ram),2798,7,2805,1.2,226
5,Govrdhan Lal HADA,Independent,269,2,271,0.12,226
6,Naharu,Independent,199,15,214,0.09,226
7,FIROJUDDIN,Independent,241,2,243,0.1,226
8,Rakesh,Independent,810,7,817,0.35,226
9,Shaheed Khan,Independent,465,3,468,0.2,226
10,NOTA,None of the Above,1835,3,1838,0.78,226
1,CHANDAR SINGH SISODIYA,Bharatiya Janata Party,108030,572,108602,52.81,227
2,JAGDISH RANGOTHA,Bahujan Samaj Party,1662,6,1668,0.81,227
3,SUBHASH KUMAR SOJATIA,Indian National Congress,89355,1140,90495,44,227
4,PRAHALAD SINGH CHOUHAN,Independent,1352,1,1353,0.66,227
5,PHULACHAND,Independent,445,1,446,0.22,227
6,SAEED AHAMAD,Independent,605,1,606,0.29,227
7,SURESH DHAKAD,Independent,538,1,539,0.26,227
8,NOTA,None of the Above,1933,16,1949,0.95,227
1,ANIRUDDHA (MADHAV) MAROO,Bharatiya Janata Party,90650,330,90980,53.94,228
2,Dr. D.R. KARESHIYA,Bahujan Samaj Party,1287,4,1291,0.77,228
3,NARENDRA NAHATA,Indian National Congress,71185,808,71993,42.68,228
4,JAKIR HUSSAIN,Social Democratic Party Of India,1176,1,1177,0.7,228
5,AZAD MAHESH MEGHWAL,Aazad Samaj Party (Kanshi Ram),915,0,915,0.54,228
6,RAMESH GURJAR,Independent,476,0,476,0.28,228
7,NOTA,None of the Above,1840,9,1849,1.1,228
1,UMRAO SINGH GURJAR,Indian National Congress,77891,1116,79007,41.77,229
2,DILIP SINGH PARIHAR,Bharatiya Janata Party,104541,749,105290,55.67,229
